concurrency,run_label,completed_requests,failed_requests,total_token_throughput,ttft_mean_ms,ttft_median_ms,ttft_p99_ms
1,run1,10,0,14158.72,4237.45,4084.58,5518.76
1,run2,10,0,168146.84,356.64,286.39,1039.86
5,run1,10,0,15059.09,16047.19,18661.37,20602.55
5,run2,10,0,208091.54,1360.19,1367.91,1927.74
10,run1,10,0,15026.78,22711.78,22642.31,39542.03
10,run2,10,0,224495.33,2476.71,2660.75,2670.24
20,run1,20,0,15486.63,41458.68,41493.68,76739.28
20,run2,20,0,235870.92,4837.43,5064.42,5084.55
30,run1,29,1,15054.52,60791.9,62531.44,114482.55
30,run2,30,0,38779.18,24008.7,23410.54,46406.9
35,run1,35,0,15620.74,70349.0,70319.08,133101.07
35,run2,35,0,18998.73,52914.58,50006.2,109228.59
40,run1,39,1,15280.76,78358.08,77738.84,151606.6
40,run2,40,0,18420.33,60563.26,56672.41,128731.7
50,run1,50,0,15671.28,98693.86,98736.7,189428.5
50,run2,50,0,16662.85,90406.95,87514.08,178084.67
60,run1,58,2,15062.33,119220.14,121872.76,228099.81
60,run2,60,0,16241.21,111577.4,110062.05,219329.03
70,run1,69,1,15517.58,135571.85,134631.29,264146.13
70,run2,69,1,15565.81,136823.66,137884.64,263468.06
150,run1,99,1,15618.22,192440.62,191544.43,376474.16
150,run2,100,0,16142.96,185304.12,184521.77,367815.45
200,run1,149,1,15749.42,286183.18,284748.56,561622.81
200,run2,148,2,15616.61,285748.92,286706.84,562634.37
250,run1,199,1,15748.82,380128.16,379732.78,750211.53
250,run2,199,1,15880.79,373181.81,372126.44,743274.11
